"Step","DQfD_random_no_train - DQfD_1/score","DQfD_random_no_train - DQfD_1/score__MIN","DQfD_random_no_train - DQfD_1/score__MAX","DQfD_bad_data_under_100 - DQfD_1/score","DQfD_bad_data_under_100 - DQfD_1/score__MIN","DQfD_bad_data_under_100 - DQfD_1/score__MAX","DQfD_bad_data_100_to_300 - DQfD_1/score","DQfD_bad_data_100_to_300 - DQfD_1/score__MIN","DQfD_bad_data_100_to_300 - DQfD_1/score__MAX","DQfD_middle_300_400 - DQfD_1/score","DQfD_middle_300_400 - DQfD_1/score__MIN","DQfD_middle_300_400 - DQfD_1/score__MAX","DQfD_mixed_good_400_500 - DQfD_1/score","DQfD_mixed_good_400_500 - DQfD_1/score__MIN","DQfD_mixed_good_400_500 - DQfD_1/score__MAX","DQfD_perfect_data_500 - DQfD_1/score","DQfD_perfect_data_500 - DQfD_1/score__MIN","DQfD_perfect_data_500 - DQfD_1/score__MAX"
"479","155","155","155","295","295","295","500","500","500","500","500","500","102","102","102","402","402","402"
"480","255","255","255","391","391","391","500","500","500","268","268","268","51","51","51","500","500","500"
"481","223","223","223","178","178","178","323","323","323","264","264","264","100","100","100","488","488","488"
"482","82","82","82","416","416","416","500","500","500","372","372","372","78","78","78","385","385","385"
"483","229","229","229","280","280","280","500","500","500","500","500","500","49","49","49","437","437","437"
"484","120","120","120","411","411","411","500","500","500","331","331","331","45","45","45","285","285","285"
"485","270","270","270","197","197","197","500","500","500","359","359","359","267","267","267","302","302","302"
"486","127","127","127","500","500","500","267","267","267","234","234","234","238","238","238","349","349","349"
"487","93","93","93","300","300","300","500","500","500","227","227","227","50","50","50","288","288","288"
"488","188","188","188","464","464","464","500","500","500","278","278","278","56","56","56","264","264","264"
"489","344","344","344","500","500","500","164","164","164","301","301","301","44","44","44","242","242","242"
"490","84","84","84","270","270","270","500","500","500","178","178","178","77","77","77","326","326","326"
"491","195","195","195","225","225","225","500","500","500","217","217","217","69","69","69","422","422","422"
"492","116","116","116","203","203","203","368","368","368","500","500","500","61","61","61","254","254","254"
"493","271","271","271","270","270","270","500","500","500","500","500","500","51","51","51","230","230","230"
"494","202","202","202","398","398","398","500","500","500","441","441","441","95","95","95","236","236","236"
"495","306","306","306","383","383","383","500","500","500","475","475","475","49","49","49","249","249","249"
"496","150","150","150","234","234","234","280","280","280","228","228","228","134","134","134","443","443","443"
"497","158","158","158","224","224","224","500","500","500","279","279","279","69","69","69","314","314","314"
"498","277","277","277","247","247","247","500","500","500","458","458","458","49","49","49","222","222","222"
"499","406","406","406","500","500","500","209","209","209","485","485","485","41","41","41","319","319","319"
"500","107","107","107","412","412","412","473","473","473","500","500","500","108","108","108","204","204","204"
"501","86","86","86","382","382","382","500","500","500","270","270","270","107","107","107","289","289","289"
"502","288","288","288","335","335","335","500","500","500","346","346","346","80","80","80","376","376","376"
"503","166","166","166","281","281","281","500","500","500","234","234","234","60","60","60","384","384","384"
"504","336","336","336","249","249","249","267","267","267","500","500","500","63","63","63","270","270","270"
"505","134","134","134","231","231","231","205","205","205","412","412","412","202","202","202","244","244","244"
"506","126","126","126","277","277","277","197","197","197","343","343","343","55","55","55","365","365","365"
"507","112","112","112","232","232","232","488","488","488","354","354","354","37","37","37","341","341","341"
"508","96","96","96","213","213","213","500","500","500","482","482","482","47","47","47","224","224","224"
"509","156","156","156","169","169","169","500","500","500","500","500","500","88","88","88","382","382","382"
"510","477","477","477","285","285","285","500","500","500","230","230","230","169","169","169","320","320","320"
"511","279","279","279","322","322","322","500","500","500","270","270","270","69","69","69","288","288","288"
"512","266","266","266","228","228","228","500","500","500","342","342","342","154","154","154","486","486","486"
"513","276","276","276","234","234","234","500","500","500","262","262","262","63","63","63","266","266","266"
"514","495","495","495","190","190","190","162","162","162","221","221","221","53","53","53","339","339","339"
"515","364","364","364","308","308","308","346","346","346","500","500","500","48","48","48","253","253","253"
"516","204","204","204","299","299","299","500","500","500","500","500","500","60","60","60","363","363","363"
"517","145","145","145","209","209","209","500","500","500","395","395","395","59","59","59","235","235","235"
"518","226","226","226","161","161","161","298","298","298","500","500","500","42","42","42","356","356","356"
"519","158","158","158","187","187","187","500","500","500","500","500","500","53","53","53","243","243","243"
"520","266","266","266","172","172","172","180","180","180","500","500","500","70","70","70","236","236","236"
"521","500","500","500","210","210","210","190","190","190","500","500","500","442","442","442","235","235","235"
"522","309","309","309","192","192","192","179","179","179","253","253","253","47","47","47","254","254","254"
"523","433","433","433","263","263","263","406","406","406","500","500","500","67","67","67","476","476","476"
"524","403","403","403","252","252","252","500","500","500","500","500","500","77","77","77","223","223","223"
"525","500","500","500","211","211","211","500","500","500","443","443","443","66","66","66","280","280","280"
"526","500","500","500","209","209","209","318","318","318","500","500","500","69","69","69","262","262","262"
"527","500","500","500","234","234","234","270","270","270","500","500","500","77","77","77","310","310","310"
"528","195","195","195","183","183","183","317","317","317","500","500","500","83","83","83","394","394","394"
"529","185","185","185","151","151","151","262","262","262","500","500","500","57","57","57","245","245","245"
"530","491","491","491","235","235","235","359","359","359","500","500","500","101","101","101","263","263","263"
"531","500","500","500","181","181","181","500","500","500","261","261","261","65","65","65","219","219","219"
"532","101","101","101","222","222","222","317","317","317","500","500","500","82","82","82","386","386","386"
"533","49","49","49","199","199","199","500","500","500","500","500","500","70","70","70","268","268","268"
"534","292","292","292","158","158","158","500","500","500","198","198","198","109","109","109","232","232","232"
"535","197","197","197","500","500","500","391","391","391","500","500","500","500","500","500","239","239","239"
"536","500","500","500","164","164","164","500","500","500","500","500","500","426","426","426","500","500","500"
"537","121","121","121","197","197","197","500","500","500","500","500","500","131","131","131","254","254","254"
"538","500","500","500","237","237","237","460","460","460","389","389","389","188","188","188","336","336","336"
"539","500","500","500","258","258","258","500","500","500","500","500","500","87","87","87","500","500","500"
"540","327","327","327","195","195","195","323","323","323","500","500","500","97","97","97","241","241","241"
"541","90","90","90","234","234","234","378","378","378","500","500","500","134","134","134","500","500","500"
"542","500","500","500","167","167","167","182","182","182","500","500","500","143","143","143","500","500","500"
"543","243","243","243","184","184","184","308","308","308","500","500","500","127","127","127","368","368","368"
"544","53","53","53","173","173","173","188","188","188","336","336","336","138","138","138","500","500","500"
"545","244","244","244","209","209","209","500","500","500","500","500","500","341","341","341","242","242","242"
"546","59","59","59","191","191","191","354","354","354","500","500","500","171","171","171","288","288","288"
"547","202","202","202","478","478","478","350","350","350","500","500","500","114","114","114","500","500","500"
"548","105","105","105","182","182","182","500","500","500","500","500","500","91","91","91","500","500","500"
"549","172","172","172","248","248","248","146","146","146","294","294","294","92","92","92","352","352","352"
"550","56","56","56","197","197","197","471","471","471","500","500","500","132","132","132","500","500","500"
"551","122","122","122","217","217","217","228","228","228","500","500","500","118","118","118","303","303","303"
"552","209","209","209","184","184","184","500","500","500","500","500","500","130","130","130","500","500","500"
"553","91","91","91","246","246","246","385","385","385","406","406","406","124","124","124","286","286","286"
"554","54","54","54","251","251","251","500","500","500","500","500","500","209","209","209","242","242","242"
"555","63","63","63","232","232","232","461","461","461","500","500","500","500","500","500","454","454","454"
"556","68","68","68","184","184","184","303","303","303","500","500","500","357","357","357","500","500","500"
"557","85","85","85","217","217","217","500","500","500","500","500","500","500","500","500","388","388","388"
"558","500","500","500","175","175","175","500","500","500","500","500","500","500","500","500","321","321","321"
"559","85","85","85","177","177","177","500","500","500","500","500","500","500","500","500","500","500","500"
"560","67","67","67","262","262","262","500","500","500","416","416","416","154","154","154","500","500","500"
"561","74","74","74","200","200","200","500","500","500","500","500","500","158","158","158","467","467","467"
"562","74","74","74","191","191","191","500","500","500","449","449","449","229","229","229","352","352","352"
"563","89","89","89","216","216","216","229","229","229","419","419","419","418","418","418","344","344","344"
"564","68","68","68","198","198","198","500","500","500","500","500","500","500","500","500","385","385","385"
"565","54","54","54","214","214","214","500","500","500","500","500","500","496","496","496","356","356","356"
"566","86","86","86","182","182","182","135","135","135","283","283","283","500","500","500","477","477","477"
"567","97","97","97","206","206","206","260","260","260","496","496","496","173","173","173","416","416","416"
"568","70","70","70","191","191","191","295","295","295","500","500","500","500","500","500","414","414","414"
"569","89","89","89","207","207","207","500","500","500","500","500","500","500","500","500","433","433","433"
"570","119","119","119","201","201","201","500","500","500","500","500","500","456","456","456","315","315","315"
"571","208","208","208","335","335","335","500","500","500","500","500","500","500","500","500","424","424","424"
"572","84","84","84","306","306","306","500","500","500","317","317","317","296","296","296","474","474","474"
"573","62","62","62","219","219","219","324","324","324","500","500","500","433","433","433","311","311","311"
"574","63","63","63","182","182","182","500","500","500","500","500","500","500","500","500","500","500","500"
"575","81","81","81","258","258","258","172","172","172","500","500","500","500","500","500","309","309","309"
"576","141","141","141","184","184","184","405","405","405","500","500","500","336","336","336","439","439","439"
"577","85","85","85","201","201","201","500","500","500","500","500","500","500","500","500","500","500","500"
"578","103","103","103","220","220","220","363","363","363","488","488","488","500","500","500","500","500","500"
"579","111","111","111","216","216","216","500","500","500","500","500","500","500","500","500","500","500","500"
"580","447","447","447","218","218","218","314","314","314","500","500","500","500","500","500","500","500","500"
"581","107","107","107","214","214","214","500","500","500","500","500","500","500","500","500","500","500","500"
"582","462","462","462","210","210","210","500","500","500","500","500","500","500","500","500","500","500","500"
"583","154","154","154","179","179","179","500","500","500","500","500","500","254","254","254","500","500","500"
"584","126","126","126","171","171","171","500","500","500","500","500","500","500","500","500","317","317","317"
"585","169","169","169","201","201","201","500","500","500","500","500","500","274","274","274","500","500","500"
"586","500","500","500","190","190","190","500","500","500","500","500","500","286","286","286","402","402","402"
"587","451","451","451","164","164","164","500","500","500","229","229","229","383","383","383","356","356","356"
"588","500","500","500","195","195","195","500","500","500","500","500","500","500","500","500","500","500","500"
"589","500","500","500","174","174","174","500","500","500","500","500","500","500","500","500","500","500","500"
"590","500","500","500","209","209","209","500","500","500","497","497","497","500","500","500","500","500","500"
"591","500","500","500","236","236","236","436","436","436","500","500","500","237","237","237","485","485","485"
"592","500","500","500","173","173","173","500","500","500","500","500","500","455","455","455","500","500","500"
"593","172","172","172","270","270","270","500","500","500","373","373","373","500","500","500","357","357","357"
"594","500","500","500","251","251","251","500","500","500","500","500","500","500","500","500","412","412","412"
"595","500","500","500","162","162","162","500","500","500","500","500","500","400","400","400","299","299","299"
"596","309","309","309","204","204","204","500","500","500","500","500","500","380","380","380","438","438","438"
"597","500","500","500","226","226","226","500","500","500","302","302","302","458","458","458","452","452","452"
"598","333","333","333","275","275","275","500","500","500","216","216","216","500","500","500","500","500","500"
"599","500","500","500","241","241","241","500","500","500","500","500","500","500","500","500","441","441","441"
